instance,lb,ub
tai50_5_0,2712,2724
tai50_5_1,2808,2834
tai50_5_2,2596,2621
tai50_5_3,2740,2751
tai50_5_4,2837,2863
tai50_5_5,2793,2829
tai50_5_6,2689,2725
tai50_5_7,2667,2683
tai50_5_8,2527,2552
tai50_5_9,2776,2782
tai100_10_0,5759,5770
tai100_10_1,5345,5349
tai100_10_2,5623,5677
tai100_10_3,5732,5791
tai100_10_4,5431,5468
tai100_10_5,5246,5303
tai100_10_6,5523,5599
tai100_10_7,5556,5623
tai100_10_8,5779,5875
tai100_10_9,5830,5845
tai100_20_0,5851,6286
tai100_20_1,6099,6241
tai100_20_2,6099,6329
tai100_20_3,6072,6306
tai100_20_4,6009,6377
tai100_20_5,6144,6437
tai100_20_6,5991,6346
tai100_20_7,6084,6481
tai100_20_8,5979,6358
tai100_20_9,6298,6465
tai20_20_0,1911,2297
tai20_20_1,1711,2100
tai20_20_2,1844,2326
tai20_20_3,1810,2223
tai20_20_4,1899,2291
tai20_20_5,1875,2226
tai20_20_6,1875,2273
tai20_20_7,1880,2200
tai20_20_8,1840,2237
tai20_20_9,1900,2178
tai100_5_0,5437,5493
tai100_5_1,5208,5268
tai100_5_2,5130,5175
tai100_5_3,4963,5014
tai100_5_4,5195,5250
tai100_5_5,5063,5135
tai100_5_6,5198,5246
tai100_5_7,5038,5106
tai100_5_8,5385,5454
tai100_5_9,5272,5328
tai200_20_0,10979,11294
tai200_20_1,10947,11420
tai200_20_2,11150,11446
tai200_20_3,11127,11347
tai200_20_4,11132,11311
tai200_20_5,11085,11282
tai200_20_6,11194,11456
tai200_20_7,11126,11415
tai200_20_8,10965,11343
tai200_20_9,11122,11422
tai20_5_0,1232,1278
tai20_5_1,1290,1359
tai20_5_2,1073,1081
tai20_5_3,1268,1293
tai20_5_4,1198,1236
tai20_5_5,1180,1195
tai20_5_6,1226,1239
tai20_5_7,1170,1206
tai20_5_8,1206,1230
tai20_5_9,1082,1108
tai50_10_0,2907,3025
tai50_10_1,2821,2892
tai50_10_2,2801,2864
tai50_10_3,2968,3064
tai50_10_4,2908,2986
tai50_10_5,2941,3006
tai50_10_6,3062,3107
tai50_10_7,2959,3039
tai50_10_8,2795,2902
tai50_10_9,3046,3091
tai20_10_0,1448,1582
tai20_10_1,1479,1659
tai20_10_2,1407,1496
tai20_10_3,1308,1378
tai20_10_4,1325,1419
tai20_10_5,1290,1397
tai20_10_6,1388,1484
tai20_10_7,1363,1538
tai20_10_8,1472,1593
tai20_10_9,1356,1591
tai200_10_0,10816,10868
tai200_10_1,10422,10494
tai200_10_2,10886,10922
tai200_10_3,10794,10889
tai200_10_4,10437,10524
tai200_10_5,10255,10331
tai200_10_6,10761,10857
tai200_10_7,10663,10731
tai200_10_8,10348,10438
tai200_10_9,10616,10676
tai50_20_0,3480,3875
tai50_20_1,3424,3715
tai50_20_2,3351,3668
tai50_20_3,3336,3752
tai50_20_4,3313,3635
tai50_20_5,3460,3698
tai50_20_6,3427,3716
tai50_20_7,3383,3709
tai50_20_8,3457,3765
tai50_20_9,3438,3777
tai500_20_0,25922,26189
tai500_20_1,26353,26629
tai500_20_2,26320,26458
tai500_20_3,26424,26549
tai500_20_4,26181,26404
tai500_20_5,26401,26581
tai500_20_6,26300,26461
tai500_20_7,26429,26615
tai500_20_8,25891,26083
tai500_20_9,26315,26527
