instance,lb,ub
tai5_5_0,295,300
tai5_5_1,255,262
tai5_5_2,321,328
tai5_5_3,306,310
tai5_5_4,321,329
tai5_5_5,307,312
tai5_5_6,298,305
tai5_5_7,292,300
tai5_5_8,349,353
tai5_5_9,321,326
tai15_15_0,937,956
tai15_15_1,918,957
tai15_15_2,871,899
tai15_15_3,934,946
tai15_15_4,946,992
tai15_15_5,933,959
tai15_15_6,891,931
tai15_15_7,893,916
tai15_15_8,899,951
tai15_15_9,902,935
tai10_10_0,637,652
tai10_10_1,588,596
tai10_10_2,598,617
tai10_10_3,577,581
tai10_10_4,640,657
tai10_10_5,538,545
tai10_10_6,616,623
tai10_10_7,595,606
tai10_10_8,595,606
tai10_10_9,596,604
tai20_20_0,1155,1215
tai20_20_1,1241,1332
tai20_20_2,1257,1294
tai20_20_3,1248,1310
tai20_20_4,1256,1301
tai20_20_5,1204,1252
tai20_20_6,1294,1352
tai20_20_7,1169,1269
tai20_20_8,1289,1322
tai20_20_9,1241,1284
tai4_4_0,186,193
tai4_4_1,229,236
tai4_4_2,262,271
tai4_4_3,245,250
tai4_4_4,287,295
tai4_4_5,185,189
tai4_4_6,197,201
tai4_4_7,212,217
tai4_4_8,258,261
tai4_4_9,213,217
tai7_7_0,435,438
tai7_7_1,443,449
tai7_7_2,468,479
tai7_7_3,463,467
tai7_7_4,416,419
tai7_7_5,451,460
tai7_7_6,422,435
tai7_7_7,424,426
tai7_7_8,458,460
tai7_7_9,398,400
