Instance,Previous LB,Previous UB
instance_n=1000_1,135,135
instance_n=1000_2,137,137
instance_n=1000_3,136,136
instance_n=1000_4,138,138
instance_n=1000_5,135,135
instance_n=1000_6,141,141
instance_n=1000_7,136,136
instance_n=1000_8,138,138
instance_n=1000_9,134,134
instance_n=1000_10,140,140
instance_n=1000_11,134,134
instance_n=1000_12,134,134
instance_n=1000_13,131,131
instance_n=1000_14,136,136
instance_n=1000_15,136,136
instance_n=1000_16,137,137
instance_n=1000_17,135,135
instance_n=1000_18,134,134
instance_n=1000_19,137,137
instance_n=1000_20,138,138
instance_n=1000_21,138,138
instance_n=1000_22,137,137
instance_n=1000_23,136,136
instance_n=1000_24,140,140
instance_n=1000_25,136,136
instance_n=1000_26,515,532
instance_n=1000_27,516,536
instance_n=1000_28,510,523
instance_n=1000_29,507,524
instance_n=1000_30,528,548
instance_n=1000_31,520,536
instance_n=1000_32,507,527
instance_n=1000_33,509,531
instance_n=1000_34,534,551
instance_n=1000_35,506,529
instance_n=1000_36,502,527
instance_n=1000_37,529,547
instance_n=1000_38,519,546
instance_n=1000_39,520,539
instance_n=1000_40,504,520
instance_n=1000_41,505,525
instance_n=1000_42,499,524
instance_n=1000_43,504,533
instance_n=1000_44,508,525
instance_n=1000_45,493,512
instance_n=1000_46,499,521
instance_n=1000_47,507,528
instance_n=1000_48,530,549
instance_n=1000_49,507,525
instance_n=1000_50,493,513
instance_n=1000_51,226,228
instance_n=1000_52,228,229
instance_n=1000_53,227,229
instance_n=1000_54,219,221
instance_n=1000_55,217,218
instance_n=1000_56,228,229
instance_n=1000_57,224,226
instance_n=1000_58,224,225
instance_n=1000_59,223,224
instance_n=1000_60,230,232
instance_n=1000_61,229,231
instance_n=1000_62,223,225
instance_n=1000_63,227,229
instance_n=1000_64,229,229
instance_n=1000_65,225,226
instance_n=1000_66,227,227
instance_n=1000_67,223,224
instance_n=1000_68,226,228
instance_n=1000_69,224,224
instance_n=1000_70,228,230
instance_n=1000_71,230,232
instance_n=1000_72,222,223
instance_n=1000_73,221,223
instance_n=1000_74,227,229
instance_n=1000_75,227,229
instance_n=1000_76,136,136
instance_n=1000_77,136,136
instance_n=1000_78,138,138
instance_n=1000_79,142,142
instance_n=1000_80,140,140
instance_n=1000_81,136,136
instance_n=1000_82,136,136
instance_n=1000_83,140,140
instance_n=1000_84,135,135
instance_n=1000_85,136,136
instance_n=1000_86,138,138
instance_n=1000_87,140,140
instance_n=1000_88,140,140
instance_n=1000_89,140,140
instance_n=1000_90,138,138
instance_n=1000_91,141,141
instance_n=1000_92,136,136
instance_n=1000_93,137,137
instance_n=1000_94,137,137
instance_n=1000_95,136,136
instance_n=1000_96,137,137
instance_n=1000_97,138,138
instance_n=1000_98,136,136
instance_n=1000_99,136,136
instance_n=1000_100,137,137
instance_n=1000_101,515,550
instance_n=1000_102,522,551
instance_n=1000_103,522,556
instance_n=1000_104,515,555
instance_n=1000_105,510,541
instance_n=1000_106,526,557
instance_n=1000_107,501,539
instance_n=1000_108,508,553
instance_n=1000_109,513,556
instance_n=1000_110,516,555
instance_n=1000_111,509,541
instance_n=1000_112,509,550
instance_n=1000_113,496,549
instance_n=1000_114,512,553
instance_n=1000_115,503,550
instance_n=1000_116,499,542
instance_n=1000_117,512,550
instance_n=1000_118,524,570
instance_n=1000_119,501,538
instance_n=1000_120,518,561
instance_n=1000_121,496,536
instance_n=1000_122,493,528
instance_n=1000_123,513,548
instance_n=1000_124,504,541
instance_n=1000_125,507,546
instance_n=1000_126,228,231
instance_n=1000_127,221,223
instance_n=1000_128,222,225
instance_n=1000_129,223,223
instance_n=1000_130,221,223
instance_n=1000_131,220,220
instance_n=1000_132,214,217
