Instance,LB,UB
instance_n=1000_30,0,547
instance_n=1000_33,0,530
instance_n=1000_35,0,527
instance_n=1000_36,0,522
instance_n=1000_38,0,542
instance_n=1000_42,0,517
instance_n=1000_43,0,524
instance_n=1000_45,0,511
instance_n=1000_47,0,526
instance_n=1000_57,0,225
instance_n=1000_63,0,228
instance_n=1000_70,0,229
instance_n=1000_71,0,231
instance_n=1000_73,0,222
instance_n=1000_101,0,545
instance_n=1000_102,0,548
instance_n=1000_103,0,555
instance_n=1000_104,0,539
instance_n=1000_105,0,540
instance_n=1000_106,0,546
instance_n=1000_107,0,533
instance_n=1000_108,0,540
instance_n=1000_109,0,543
instance_n=1000_110,0,547
instance_n=1000_111,0,537
instance_n=1000_112,0,543
instance_n=1000_113,0,535
instance_n=1000_114,0,540
instance_n=1000_115,0,534
instance_n=1000_116,0,534
instance_n=1000_117,0,544
instance_n=1000_118,0,556
instance_n=1000_119,0,525
instance_n=1000_120,0,543
instance_n=1000_121,0,532
instance_n=1000_122,0,523
instance_n=1000_123,0,545
instance_n=1000_124,0,536
instance_n=1000_125,0,535
instance_n=1000_126,0,230
instance_n=1000_128,0,224
instance_n=1000_132,0,216
instance_n=1000_135,0,227
instance_n=1000_138,0,223
instance_n=1000_139,0,226
instance_n=1000_141,0,217
instance_n=1000_142,0,222
instance_n=1000_143,0,215
instance_n=1000_144,0,219
instance_n=1000_145,0,222
instance_n=1000_149,0,239
instance_n=1000_150,0,224
instance_n=1000_178,0,545
instance_n=1000_179,0,545
instance_n=1000_181,0,547
instance_n=1000_187,0,551
instance_n=1000_191,0,538
instance_n=1000_199,0,520
instance_n=1000_200,0,529
instance_n=1000_203,0,231
instance_n=1000_252,0,556
instance_n=1000_253,0,554
instance_n=1000_254,0,552
instance_n=1000_256,0,542
instance_n=1000_257,0,556
instance_n=1000_258,0,545
instance_n=1000_259,0,542
instance_n=1000_260,0,538
instance_n=1000_262,0,532
instance_n=1000_264,0,544
instance_n=1000_265,0,567
instance_n=1000_267,0,559
instance_n=1000_269,0,547
instance_n=1000_271,0,536
instance_n=1000_275,0,560
instance_n=1000_281,0,222
instance_n=1000_294,0,233
instance_n=1000_296,0,210
instance_n=1000_300,0,231
instance_n=1000_327,0,534
instance_n=1000_328,0,525
instance_n=1000_331,0,527
instance_n=1000_332,0,518
instance_n=1000_336,0,518
instance_n=1000_338,0,534
instance_n=1000_339,0,541
instance_n=1000_341,0,537
instance_n=1000_343,0,539
instance_n=1000_344,0,530
instance_n=1000_345,0,537
instance_n=1000_346,0,525
instance_n=1000_347,0,530
instance_n=1000_348,0,552
instance_n=1000_350,0,518
instance_n=1000_366,0,229
instance_n=1000_375,0,228
instance_n=1000_401,0,541
instance_n=1000_402,0,552
instance_n=1000_403,0,545
instance_n=1000_404,0,539
instance_n=1000_405,0,551
instance_n=1000_406,0,534
instance_n=1000_407,0,544
instance_n=1000_408,0,554
instance_n=1000_409,0,547
instance_n=1000_412,0,545
instance_n=1000_413,0,546
instance_n=1000_414,0,546
instance_n=1000_415,0,546
instance_n=1000_416,0,554
instance_n=1000_417,0,579
instance_n=1000_418,0,545
instance_n=1000_419,0,568
instance_n=1000_420,0,548
instance_n=1000_421,0,541
instance_n=1000_422,0,540
instance_n=1000_423,0,551
instance_n=1000_424,0,534
instance_n=1000_425,0,559
instance_n=1000_426,0,226
instance_n=1000_428,0,226
instance_n=1000_430,0,222
instance_n=1000_433,0,232
instance_n=1000_435,0,229
instance_n=1000_436,0,229
instance_n=1000_437,0,224
instance_n=1000_439,0,227
instance_n=1000_441,0,224
instance_n=1000_442,0,233
instance_n=1000_443,0,219
instance_n=1000_444,0,224
instance_n=1000_446,0,230
instance_n=1000_447,0,224
instance_n=1000_449,0,235
instance_n=1000_476,0,573
instance_n=1000_477,0,581
instance_n=1000_478,0,598
instance_n=1000_479,0,578
instance_n=1000_480,0,566
instance_n=1000_481,0,579
instance_n=1000_482,0,592
instance_n=1000_483,0,566
instance_n=1000_484,0,588
instance_n=1000_485,0,579
instance_n=1000_486,0,570
instance_n=1000_487,0,583
instance_n=1000_488,0,567
instance_n=1000_489,0,563
instance_n=1000_490,0,573
instance_n=1000_491,0,570
instance_n=1000_492,0,582
instance_n=1000_493,0,558
instance_n=1000_494,0,567
instance_n=1000_495,0,590
instance_n=1000_496,0,556
instance_n=1000_497,0,563
instance_n=1000_498,0,582
instance_n=1000_499,0,563
instance_n=1000_500,0,570
instance_n=1000_501,0,232
instance_n=1000_502,0,228
instance_n=1000_503,0,229
instance_n=1000_504,0,233
instance_n=1000_506,0,228
instance_n=1000_507,0,226
instance_n=1000_508,0,223
instance_n=1000_509,0,230
instance_n=1000_510,0,232
instance_n=1000_511,0,235
instance_n=1000_512,0,224
instance_n=1000_513,0,224
instance_n=1000_515,0,225
instance_n=1000_516,0,235
instance_n=1000_517,0,226
instance_n=1000_518,0,224
instance_n=1000_521,0,234
instance_n=1000_522,0,220
instance_n=1000_523,0,225
instance_n=1000_524,0,231
instance_n=1000_525,0,226
